nom,date_heure,temperature
CT 801,2021-05-07 01:48:55.823532,24.0
CT 801,2021-05-07 01:49:00.861180,24.0
CT 801,2021-05-07 01:49:05.898289,24.0
CT 801,2021-05-07 01:49:10.935072,24.0
CT 801,2021-05-07 01:49:15.970099,24.0
CT 801,2021-05-07 01:49:37.440729,24.0
CT 801,2021-05-07 01:49:42.489027,24.0
CT 801,2021-05-07 01:51:11.889042,24.06
CT 801,2021-05-07 01:51:16.940427,24.06
CT 801,2021-05-07 02:23:28.772706,none
CT 801,2021-05-07 02:25:00.148399,24.06
CT 801,2021-05-07 02:25:05.191096,24.06
CT 801,2021-05-07 02:26:18.949509,none
CT 801,2021-05-07 02:26:55.939531,24.0
CT 801,2021-05-07 02:27:02.478312,24.0
CT 801,2021-05-07 13:01:40.682688,23.68
CT 801,2021-05-07 13:01:45.723089,23.68
CT 801,2021-05-07 13:01:50.757175,23.68
CT 801,2021-05-07 13:01:55.793190,23.68
CT 801,2021-05-07 13:02:00.830198,23.68
CT 801,2021-05-07 13:02:05.864841,23.68
CT 801,2021-05-07 13:02:10.901221,23.68
CT 801,2021-05-07 13:02:15.937199,23.68
CT 801,2021-05-07 13:02:20.972288,23.68
CT 801,2021-05-07 13:02:26.006108,23.68
CT 801,2021-05-07 13:02:31.043312,23.68
CT 801,2021-05-07 13:02:36.079609,23.68
